index,X,Y
0,4.98,24.0
1,9.14,21.6
2,4.03,34.7
3,2.94,33.4
4,5.33,36.2
5,5.21,28.7
6,12.43,22.9
7,19.15,27.1
8,29.93,16.5
9,17.1,18.9
10,20.45,15.0
11,13.27,18.9
12,15.71,21.7
13,8.26,20.4
14,10.26,18.2
15,8.47,19.9
16,6.58,23.1
17,14.67,17.5
18,11.69,20.2
19,11.28,18.2
20,21.02,13.6
21,13.83,19.6
22,18.72,15.2
23,19.88,14.5
24,16.3,15.6
25,16.51,13.9
26,14.81,16.6
27,17.28,14.8
28,12.8,18.4
29,11.98,21.0
30,22.6,12.7
31,13.04,14.5
32,27.71,13.2
33,18.35,13.1
34,20.34,13.5
35,9.68,18.9
36,11.41,20.0
37,8.77,21.0
38,10.13,24.7
39,4.32,30.8
40,1.98,34.9
41,4.84,26.6
42,5.81,25.3
43,7.44,24.7
44,9.55,21.2
45,10.21,19.3
46,14.15,20.0
47,18.8,16.6
48,30.81,14.4
49,16.2,19.4
50,13.45,19.7
51,9.43,20.5
52,5.28,25.0
53,8.43,23.4
54,14.8,18.9
55,4.81,35.4
56,5.77,24.7
57,3.95,31.6
58,6.86,23.3
59,9.22,19.6
60,13.15,18.7
61,14.44,16.0
62,6.73,22.2
63,9.5,25.0
64,8.05,33.0
65,4.67,23.5
66,10.24,19.4
67,8.1,22.0
68,13.09,17.4
69,8.79,20.9
70,6.72,24.2
71,9.88,21.7
72,5.52,22.8
73,7.54,23.4
74,6.78,24.1
75,8.94,21.4
76,11.97,20.0
77,10.27,20.8
78,12.34,21.2
79,9.1,20.3
80,5.29,28.0
81,7.22,23.9
82,6.72,24.8
83,7.51,22.9
84,9.62,23.9
85,6.53,26.6
86,12.86,22.5
87,8.44,22.2
88,5.5,23.6
89,5.7,28.7
90,8.81,22.6
91,8.2,22.0
92,8.16,22.9
93,6.21,25.0
94,10.59,20.6
95,6.65,28.4
96,11.34,21.4
97,4.21,38.7
98,3.57,43.8
99,6.19,33.2
100,9.42,27.5
101,7.67,26.5
102,10.63,18.6
103,13.44,19.3
104,12.33,20.1
105,16.47,19.5
106,18.66,19.5
107,14.09,20.4
108,12.27,19.8
109,15.55,19.4
110,13.0,21.7
111,10.16,22.8
112,16.21,18.8
113,17.09,18.7
114,10.45,18.5
115,15.76,18.3
116,12.04,21.2
117,10.3,19.2
118,15.37,20.4
119,13.61,19.3
120,14.37,22.0
121,14.27,20.3
122,17.93,20.5
123,25.41,17.3
124,17.58,18.8
125,14.81,21.4
126,27.26,15.7
127,17.19,16.2
128,15.39,18.0
129,18.34,14.3
130,12.6,19.2
131,12.26,19.6
132,11.12,23.0
133,15.03,18.4
134,17.31,15.6
135,16.96,18.1
136,16.9,17.4
137,14.59,17.1
138,21.32,13.3
139,18.46,17.8
140,24.16,14.0
141,34.41,14.4
142,26.82,13.4
143,26.42,15.6
144,29.29,11.8
145,27.8,13.8
146,16.65,15.6
147,29.53,14.6
148,28.32,17.8
149,21.45,15.4
150,14.1,21.5
151,13.28,19.6
152,12.12,15.3
153,15.79,19.4
154,15.12,17.0
155,15.02,15.6
156,16.14,13.1
157,4.59,41.3
158,6.43,24.3
159,7.39,23.3
160,5.5,27.0
161,1.73,50.0
162,1.92,50.0
163,3.32,50.0
164,11.64,22.7
165,9.81,25.0
166,3.7,50.0
167,12.14,23.8
168,11.1,23.8
169,11.32,22.3
170,14.43,17.4
171,12.03,19.1
172,14.69,23.1
173,9.04,23.6
174,9.64,22.6
175,5.33,29.4
176,10.11,23.2
177,6.29,24.6
178,6.92,29.9
179,5.04,37.2
180,7.56,39.8
181,9.45,36.2
182,4.82,37.9
183,5.68,32.5
184,13.98,26.4
185,13.15,29.6
186,4.45,50.0
187,6.68,32.0
188,4.56,29.8
189,5.39,34.9
190,5.1,37.0
191,4.69,30.5
192,2.87,36.4
193,5.03,31.1
194,4.38,29.1
195,2.97,50.0
196,4.08,33.3
197,8.61,30.3
198,6.62,34.6
199,4.56,34.9
200,4.45,32.9
201,7.43,24.1
202,3.11,42.3
203,3.81,48.5
204,2.88,50.0
205,10.87,22.6
206,10.97,24.4
207,18.06,22.5
208,14.66,24.4
209,23.09,20.0
210,17.27,21.7
211,23.98,19.3
212,16.03,22.4
213,9.38,28.1
214,29.55,23.7
215,9.47,25.0
216,13.51,23.3
217,9.69,28.7
218,17.92,21.5
219,10.5,23.0
220,9.71,26.7
221,21.46,21.7
222,9.93,27.5
223,7.6,30.1
224,4.14,44.8
225,4.63,50.0
226,3.13,37.6
227,6.36,31.6
228,3.92,46.7
229,3.76,31.5
230,11.65,24.3
231,5.25,31.7
232,2.47,41.7
233,3.95,48.3
234,8.05,29.0
235,10.88,24.0
236,9.54,25.1
237,4.73,31.5
238,6.36,23.7
239,7.37,23.3
240,11.38,22.0
241,12.4,20.1
242,11.22,22.2
243,5.19,23.7
244,12.5,17.6
245,18.46,18.5
246,9.16,24.3
247,10.15,20.5
248,9.52,24.5
249,6.56,26.2
250,5.9,24.4
251,3.59,24.8
252,3.53,29.6
253,3.54,42.8
254,6.57,21.9
255,9.25,20.9
256,3.11,44.0
257,5.12,50.0
258,7.79,36.0
259,6.9,30.1
260,9.59,33.8
261,7.26,43.1
262,5.91,48.8
263,11.25,31.0
264,8.1,36.5
265,10.45,22.8
266,14.79,30.7
267,7.44,50.0
268,3.16,43.5
269,13.65,20.7
270,13.0,21.1
271,6.59,25.2
272,7.73,24.4
273,6.58,35.2
274,3.53,32.4
275,2.98,32.0
276,6.05,33.2
277,4.16,33.1
278,7.19,29.1
279,4.85,35.1
280,3.76,45.4
281,4.59,35.4
282,3.01,46.0
283,3.16,50.0
284,7.85,32.2
285,8.23,22.0
286,12.93,20.1
287,7.14,23.2
288,7.6,22.3
289,9.51,24.8
290,3.33,28.5
291,3.56,37.3
292,4.7,27.9
293,8.58,23.9
294,10.4,21.7
295,6.27,28.6
296,7.39,27.1
297,15.84,20.3
298,4.97,22.5
299,4.74,29.0
300,6.07,24.8
301,9.5,22.0
302,8.67,26.4
303,4.86,33.1
304,6.93,36.1
305,8.93,28.4
306,6.47,33.4
307,7.53,28.2
308,4.54,22.8
309,9.97,20.3
310,12.64,16.1
311,5.98,22.1
312,11.72,19.4
313,7.9,21.6
314,9.28,23.8
315,11.5,16.2
316,18.33,17.8
317,15.94,19.8
318,10.36,23.1
319,12.73,21.0
320,7.2,23.8
321,6.87,23.1
322,7.7,20.4
323,11.74,18.5
324,6.12,25.0
325,5.08,24.6
326,6.15,23.0
327,12.79,22.2
328,9.97,19.3
329,7.34,22.6
330,9.09,19.8
331,12.43,17.1
332,7.83,19.4
333,5.68,22.2
334,6.75,20.7
335,8.01,21.1
336,9.8,19.5
337,10.56,18.5
338,8.51,20.6
339,9.74,19.0
340,9.29,18.7
341,5.49,32.7
342,8.65,16.5
343,7.18,23.9
344,4.61,31.2
345,10.53,17.5
346,12.67,17.2
347,6.36,23.1
348,5.99,24.5
349,5.89,26.6
350,5.98,22.9
351,5.49,24.1
352,7.79,18.6
353,4.5,30.1
354,8.05,18.2
355,5.57,20.6
356,17.6,17.8
357,13.27,21.7
358,11.48,22.7
359,12.67,22.6
360,7.79,25.0
361,14.19,19.9
362,10.19,20.8
363,14.64,16.8
364,5.29,21.9
365,7.12,27.5
366,14.0,21.9
367,13.33,23.1
368,3.26,50.0
369,3.73,50.0
370,2.96,50.0
371,9.53,50.0
372,8.88,50.0
373,34.77,13.8
374,37.97,13.8
375,13.44,15.0
376,23.24,13.9
377,21.24,13.3
378,23.69,13.1
379,21.78,10.2
380,17.21,10.4
381,21.08,10.9
382,23.6,11.3
383,24.56,12.3
384,30.63,8.8
385,30.81,7.2
386,28.28,10.5
387,31.99,7.4
388,30.62,10.2
389,20.85,11.5
390,17.11,15.1
391,18.76,23.2
392,25.68,9.7
393,15.17,13.8
394,16.35,12.7
395,17.12,13.1
396,19.37,12.5
397,19.92,8.5
398,30.59,5.0
399,29.97,6.3
400,26.77,5.6
401,20.32,7.2
402,20.31,12.1
403,19.77,8.3
404,27.38,8.5
405,22.98,5.0
406,23.34,11.9
407,12.13,27.9
408,26.4,17.2
409,19.78,27.5
410,10.11,15.0
411,21.22,17.2
412,34.37,17.9
413,20.08,16.3
414,36.98,7.0
415,29.05,7.2
416,25.79,7.5
417,26.64,10.4
418,20.62,8.8
419,22.74,8.4
420,15.02,16.7
421,15.7,14.2
422,14.1,20.8
423,23.29,13.4
424,17.16,11.7
425,24.39,8.3
